budget_1e21,N_params_B,D_tokens_B,Q_target,loss,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,coefficient_source,bootstrap_draw,context_tokens_fixed
1000.0,745.9127172610927,175.40101098044798,0.9899999999999999,0.29659492804871135,785.0030682646122,0.6387605612639248,214.35817117412344,999.9999999999995,0.7850030682646126,0.000638760561263925,0.21435817117412354,b6_b8_lambda10,12,8192
0.01,2.299045592984371,0.5176153002544543,0.99,1.3580276665493023,0.007140127049467712,0.0018850076054931402,0.0009748653464873249,0.010000000001448177,0.7140127048433695,0.18850076052201578,0.09748653463461472,b6_b8_lambda10,13,4096
10.0,66.86784368133758,19.439933473700666,0.99,0.5642671818648608,7.799438596170108,0.07079470492891615,2.1297666993275177,10.000000000426542,0.7799438595837429,0.007079470492589646,0.21297666992366743,b6_b8_lambda10,13,8192
1000.0,795.6893260574204,164.43487261650176,0.9899999999999988,0.31517681728354835,785.0344378353725,0.5988250064053856,214.36673715824574,1000.0000000000236,0.785034437835354,0.0005988250064053714,0.21436673715824067,b6_b8_lambda10,13,8192
0.01,2.0546088158617595,0.566491875565002,0.99,1.3233683028498702,0.006983515209899496,0.0020630021820552107,0.0009534826099916113,0.010000000001946318,0.6983515208540282,0.20630021816536848,0.09534826098060332,b6_b8_lambda10,14,4096
10.0,62.100789410555656,20.920835371269852,0.9899999999999871,0.5476743164521005,7.795202350104798,0.07618772816167554,2.1286099217352836,10.000000000001759,0.7795202350103427,0.007618772816166215,0.21286099217349094,b6_b8_lambda10,14,8192
1000.0,772.4512025296413,169.37861646689626,0.9899999999999908,0.3059522172956231,785.0202958359655,0.6168287144739192,214.36287544960763,1000.0000000000471,0.7850202958359286,0.0006168287144738901,0.21436287544959753,b6_b8_lambda10,14,8192
0.01,2.6509475983723334,0.46042514131717416,0.9899999999999977,1.2962056186285666,0.00732337753563003,0.0016767373234841821,0.00099988514619802,0.010000000005312232,0.7323377531739682,0.16767373225934604,0.0999885145666858,b6_b8_lambda10,15,4096
10.0,74.20301549917006,17.53051096528302,0.9899999999999958,0.5633205943648878,7.804900661191601,0.06384113159231165,2.1312582072160535,9.999999999999966,0.7804900661191627,0.006384113159231187,0.21312582072160607,b6_b8_lambda10,15,8192
1000.0,849.9113971549054,153.95024952380342,0.99,0.3244159620981253,785.0644299907325,0.5606429931211038,214.374927016136,999.9999999999895,0.7850644299907407,0.0005606429931211096,0.21437492701613825,b6_b8_lambda10,15,8192
0.01,2.6315108453036724,0.46325219224318154,0.99,1.2976856930005176,0.007314319007991805,0.0016870326383522562,0.000998648355224481,0.010000000001568542,0.7314319006844523,0.1687032638087638,0.09986483550678389,b6_b8_lambda10,16,4096
10.0,80.31834153982034,16.20363863461504,0.99,0.5440947939179281,7.808696292257033,0.059009040203983,2.132294667538987,10.000000000000004,0.780869629225703,0.005900904020398298,0.21322946675389864,b6_b8_lambda10,16,8192
1000.0,968.237764022712,135.14556230740698,0.9899999999999991,0.30441529077355634,785.118222396695,0.49216167426441043,214.38961592912418,1000.0000000000836,0.7851182223966294,0.0004921616742643693,0.21438961592910627,b6_b8_lambda10,16,8192
0.01,2.532568213731961,0.4781988075805193,0.9899999999999994,1.3352440441456372,0.007266426599537697,0.0017414639574678413,0.0009921094450568802,0.010000000002062418,0.7266426598039055,0.17414639571086787,0.09921094448522658,b6_b8_lambda10,17,4096
10.0,65.90152134108853,19.72293629322269,0.99,0.562760188941775,7.798629042220468,0.07182532065243277,2.1295456371290027,10.000000000001904,0.7798629042218983,0.007182532065241909,0.21295456371285973,b6_b8_lambda10,17,8192
1000.0,718.5752466091395,182.06954109810198,0.9899999999999828,0.3172544598463868,784.983992367489,0.6630454500278805,214.35296218248234,999.9999999999992,0.7849839923674896,0.0006630454500278811,0.2143529621824825,b6_b8_lambda10,17,8192
0.01,2.5737846686105685,0.47185685746168926,0.99,1.2810744491722637,0.007286747673081949,0.001718368380111891,0.000994883948964789,0.01000000000215863,0.7286747671509011,0.1718368379740959,0.09948839487500304,b6_b8_lambda10,18,4096
10.0,75.03943400514756,17.336342771724844,0.99,0.5375862366507175,7.80545609585678,0.06313402629341255,2.131409877908625,10.000000000058817,0.7805456095810871,0.006313402629304122,0.21314098778960888,b6_b8_lambda10,18,8192
1000.0,881.5119854994603,148.4343985987238,0.99,0.3004197941495174,785.0802085510759,0.5405558339134254,214.3792356150138,1000.0000000000032,0.7850802085510734,0.0005405558339134237,0.21437923561501313,b6_b8_lambda10,18,8192
0.01,2.928100787471091,0.4235669198191727,0.99,1.2822022709915109,0.0074414797888153455,0.0015425101709743612,0.0010160100404995886,0.010000000000289297,0.7441479788600066,0.15425101709297367,0.10160100404701958,b6_b8_lambda10,19,4096
10.0,79.87654171319556,16.292729738726887,0.99,0.522954835026939,7.80844143958344,0.05933348464901787,2.132225075768918,10.000000000001375,0.7808441439582366,0.005933348464900972,0.21322250757686248,b6_b8_lambda10,19,8192
1000.0,874.0763323256864,149.69642226711716,0.9899999999999995,0.2859326364094734,785.076598425114,0.5451517649302711,214.37824980995114,999.9999999999955,0.7850765984251176,0.0005451517649302735,0.21437824980995213,b6_b8_lambda10,19,8192
0.01,2.857771048501783,0.43234965080886034,0.99,1.338635142981865,0.0074133378894685005,0.001574494377593491,0.0010121677331754327,0.010000000000237425,0.741333788929249,0.15744943775561088,0.10121677331514013,b6_b8_lambda10,20,4096
10.0,76.87256360632684,16.925482535048175,0.9899999999999999,0.5482325872793105,7.806631396459589,0.061637790246005325,2.1317308133265653,10.00000000003216,0.7806631396434484,0.00616377902458071,0.213173081331971,b6_b8_lambda10,20,8192
1000.0,836.8720320607596,156.34759399832578,0.99,0.30086086122532435,785.057572183137,0.56937343939122,214.3730543774753,1000.0000000000036,0.7850575721831342,0.0005693734393912179,0.21437305437747453,b6_b8_lambda10,20,8192
0.01,2.4526581656709197,0.4909931734154675,0.989999999999999,1.3057804828957553,0.0072254304963967455,0.001788057396445554,0.000986512110441369,0.010000000003283669,0.7225430494024153,0.1788057395858415,0.09865121101174312,b6_b8_lambda10,21,4096
10.0,67.5306152275281,19.25047999178101,0.9899999999999991,0.5536027383797337,7.7999805436211505,0.07010476926795259,2.1299146871114822,10.000000000000584,0.7799980543620695,0.007010476926794849,0.21299146871113578,b6_b8_lambda10,21,8192
1000.0,770.1214644014547,169.890696311162,0.99,0.3135329501355579,785.0188309880094,0.618693563524178,214.36247544845912,999.9999999999927,0.7850188309880152,0.0006186935635241825,0.21436247544846068,b6_b8_lambda10,21,8192
0.01,2.897811894121295,0.4273052451820615,0.99,1.2839836710333874,0.007429501331453964,0.0015561240879845212,0.001014374581787848,0.010000000001226332,0.742950133054286,0.15561240877936888,0.1014374581663452,b6_b8_lambda10,22,4096
10.0,80.55904941709335,16.15550752716796,0.9899999999999999,0.5433793405046852,7.808833975436084,0.05883376040921273,2.1323322642257465,10.000000000071044,0.7808833975380607,0.005883376040879475,0.21323322642105977,b6_b8_lambda10,22,8192
1000.0,901.4299458930806,145.156331766194,0.9899999999999991,0.3052822881094625,785.0895857402298,0.5286180474770558,214.38179621279878,1000.0000000005057,0.7850895857398328,0.0005286180474767885,0.21438179621269038,b6_b8_lambda10,22,8192
0.01,2.6153179029477247,0.4656340807947949,0.9899999999999999,1.3342688989422997,0.007306686886351407,0.0016957067985500346,0.0009976063162165122,0.010000000001117955,0.7306686885534552,0.16957067983604623,0.09976063161049843,b6_b8_lambda10,23,4096
10.0,80.72026550744401,16.12343088866696,0.9899999999999999,0.5606602802304228,7.808925733344726,0.05871694642109585,2.132357320252,10.00000000001782,0.780892573333081,0.0058716946420991215,0.21323573202482,b6_b8_lambda10,23,8192
1000.0,983.2623621513291,133.08149094107762,0.99,0.3130347517332781,785.124126848068,0.48464491380177077,214.39122823797913,999.9999999998489,0.7851241268481867,0.000484644913801844,0.21439122823801152,b6_b8_lambda10,23,8192
0.01,2.2663157553020197,0.5236650580347775,0.9899999999999998,1.3502494466447594,0.007120742229152176,0.0019070391015128551,0.0009722186723535772,0.010000000003018608,0.7120742227002703,0.19070391009371948,0.09722186720601024,b6_b8_lambda10,24,4096
10.0,64.53378175288553,20.13788190571506,0.9899999999999994,0.5741694605279045,7.797442055212789,0.07333643447582537,2.1292215105434393,10.000000000232054,0.7797442055031846,0.007333643447412357,0.21292215104940299,b6_b8_lambda10,24,8192
1000.0,764.54225430205,171.1296928142302,0.9899999999999978,0.32567136287420656,785.0152867332533,0.6232056361586436,214.36150763062707,1000.0000000000391,0.7850152867332226,0.0006232056361586192,0.2143615076306187,b6_b8_lambda10,24,8192
0.01,2.5731494912505735,0.47195331529041745,0.99,1.3544651501594815,0.007286438598801355,0.0017187196520713416,0.0009948417500230116,0.010000000000895709,0.7286438598148702,0.17187196519173945,0.09948417499339027,b6_b8_lambda10,25,4096
10.0,81.01402117799707,16.06530960255237,0.99,0.5664321612343685,7.809091994233546,0.05850528523891445,2.1324027205587073,10.000000000031168,0.7809091994209206,0.00585052852387321,0.2132402720552061,b6_b8_lambda10,25,8192
1000.0,999.9814558269486,130.85750810095834,0.99,0.31632749898410645,785.1304887400983,0.4765458012638489,214.3929654586295,999.9999999999916,0.7851304887401048,0.0004765458012638529,0.21439296545863132,b6_b8_lambda10,25,8192
