budget_1e21,budget_flops,coefficient_source,context_tokens,cost_function,frontier_method,loss,N_params_B,D_tokens_B,Q_target,train_cost_share,quality_cost_share,attention_cost_share
0.1,1e+20,b1_mixed_pythia_quality,5461,exponential,piecewise_log_interpolation_of_optimized_grid,3.2439169891395134,12.486856381990028,6.509767074160716,0.6002587252750402,0.6302812119550765,0.2776975940292503,0.09202119401567316
0.11659144011798317,1.1659144011798317e+20,b1_mixed_pythia_quality,5552,exponential,piecewise_log_interpolation_of_optimized_grid,3.22308434110572,13.304966513230742,6.4894710011369945,0.6096349715001432,0.613642052488431,0.29621076678773683,0.09014718072383207
0.13593563908785256,1.3593563908785255e+20,b1_mixed_pythia_quality,5643,exponential,piecewise_log_interpolation_of_optimized_grid,3.2022516930719265,14.123076644471457,6.469174928113273,0.6190112177252464,0.5970028930217857,0.3147239395462233,0.08827316743199097
0.15848931924611134,1.5848931924611134e+20,b1_mixed_pythia_quality,5734,exponential,piecewise_log_interpolation_of_optimized_grid,3.1814190450381328,14.94118677571217,6.448878855089552,0.6283874639503494,0.5803637335551401,0.3332371123047098,0.08639915414014987
0.18478497974222907,1.8478497974222907e+20,b1_mixed_pythia_quality,5825,exponential,piecewise_log_interpolation_of_optimized_grid,3.1605863970043395,15.759296906952885,6.42858278206583,0.6377637101754525,0.5637245740884949,0.35175028506319633,0.08452514084830878
0.21544346900318834,2.1544346900318834e+20,b1_mixed_pythia_quality,5916,exponential,piecewise_log_interpolation_of_optimized_grid,3.139753748970546,16.5774070381936,6.408286709042109,0.6471399564005555,0.5470854146218493,0.37026345782168285,0.0826511275564677
0.25118864315095796,2.5118864315095797e+20,b1_mixed_pythia_quality,6007,exponential,piecewise_log_interpolation_of_optimized_grid,3.118921100936752,17.395517169434314,6.387990636018388,0.6565162026256586,0.530446255155204,0.3887766305801693,0.0807771142646266
0.29286445646252357,2.9286445646252356e+20,b1_mixed_pythia_quality,6098,exponential,piecewise_log_interpolation_of_optimized_grid,3.0980884529029584,18.21362730067503,6.367694562994666,0.6658924488507616,0.5138070956885585,0.40728980333865583,0.0789031009727855
0.34145488738336005,3.414548873833601e+20,b1_mixed_pythia_quality,6190,exponential,piecewise_log_interpolation_of_optimized_grid,3.077255804869165,19.03173743191574,6.347398489970945,0.6752686950758647,0.4971679362219132,0.42580297609714235,0.07702908768094441
0.3981071705534973,3.981071705534973e+20,b1_mixed_pythia_quality,6281,exponential,piecewise_log_interpolation_of_optimized_grid,3.0564231568353715,19.84984756315646,6.327102416947223,0.6846449413009678,0.48052877675526773,0.4443161488556289,0.07515507438910331
0.464158883361278,4.64158883361278e+20,b1_mixed_pythia_quality,6372,exponential,piecewise_log_interpolation_of_optimized_grid,3.0355905088015778,20.66795769439717,6.306806343923502,0.6940211875260709,0.4638896172886223,0.4628293216141154,0.0732810610972622
0.5411695265464638,5.411695265464638e+20,b1_mixed_pythia_quality,6463,exponential,piecewise_log_interpolation_of_optimized_grid,3.0147578607677845,21.486067825637885,6.286510270899781,0.7033974337511739,0.44725045782197687,0.4813424943726019,0.07140704780542112
0.6309573444801934,6.309573444801934e+20,b1_mixed_pythia_quality,6554,exponential,piecewise_log_interpolation_of_optimized_grid,2.993925212733991,22.3041779568786,6.266214197876059,0.7127736799762769,0.43061129835533146,0.4998556671310884,0.06953303451358003
0.7356422544596414,7.356422544596414e+20,b1_mixed_pythia_quality,6645,exponential,piecewise_log_interpolation_of_optimized_grid,2.973092564700197,23.122288088119316,6.245918124852338,0.72214992620138,0.41397213888868606,0.5183688398895749,0.06765902122173893
0.8576958985908941,8.576958985908941e+20,b1_mixed_pythia_quality,6736,exponential,piecewise_log_interpolation_of_optimized_grid,2.952259916666404,23.940398219360027,6.2256220518286165,0.731526172426483,0.39733297942204066,0.5368820126480615,0.06578500792989783
1.0,1e+21,b1_mixed_pythia_quality,6827,exponential,piecewise_log_interpolation_of_optimized_grid,2.93142726863261,24.758508350600742,6.205325978804895,0.7409024186515861,0.38069381995539525,0.555395185406548,0.06391099463805675
1.165914401179831,1.165914401179831e+21,b1_mixed_pythia_quality,6918,exponential,piecewise_log_interpolation_of_optimized_grid,2.9105946205988165,25.576618481841454,6.185029905781174,0.7502786648766891,0.3640546604887499,0.5739083581650344,0.06203698134621566
1.3593563908785256,1.3593563908785255e+21,b1_mixed_pythia_quality,7009,exponential,piecewise_log_interpolation_of_optimized_grid,2.8897619725650228,26.39472861308217,6.164733832757452,0.7596549111017923,0.3474155010221044,0.592421530923521,0.06016296805437456
1.584893192461114,1.5848931924611141e+21,b1_mixed_pythia_quality,7100,exponential,piecewise_log_interpolation_of_optimized_grid,2.868929324531229,27.212838744322887,6.144437759733731,0.7690311573268953,0.330776341555459,0.6109347036820075,0.05828895476253346
1.8478497974222907,1.8478497974222908e+21,b1_mixed_pythia_quality,7191,exponential,piecewise_log_interpolation_of_optimized_grid,2.848096676497436,28.0309488755636,6.12414168671001,0.7784074035519983,0.3141371820888136,0.6294478764404939,0.05641494147069237
2.1544346900318843,2.1544346900318842e+21,b1_mixed_pythia_quality,7282,exponential,piecewise_log_interpolation_of_optimized_grid,2.827264028463642,28.849059006804314,6.103845613686288,0.7877836497771015,0.2974980226221682,0.6479610491989806,0.05454092817885127
2.5118864315095797,2.5118864315095796e+21,b1_mixed_pythia_quality,7373,exponential,piecewise_log_interpolation_of_optimized_grid,2.8064313804298484,29.667169138045026,6.083549540662567,0.7971598960022045,0.2808588631555228,0.666474221957467,0.05266691488701018
2.9286445646252375,2.9286445646252375e+21,b1_mixed_pythia_quality,7464,exponential,piecewise_log_interpolation_of_optimized_grid,2.785598732396055,30.485279269285744,6.063253467638845,0.8065361422273076,0.26421970368887737,0.6849873947159536,0.05079290159516908
3.414548873833601,3.414548873833601e+21,b1_mixed_pythia_quality,7555,exponential,piecewise_log_interpolation_of_optimized_grid,2.7647660843622615,31.303389400526456,6.042957394615124,0.8159123884524107,0.24758054422223197,0.70350056747444,0.048918888303327995
3.981071705534973,3.9810717055349733e+21,b1_mixed_pythia_quality,7646,exponential,piecewise_log_interpolation_of_optimized_grid,2.7439334363284678,32.12149953176717,6.022661321591403,0.8252886346775137,0.23094138475558657,0.7220137402329265,0.047044875011486895
4.6415888336127775,4.6415888336127777e+21,b1_mixed_pythia_quality,7737,exponential,piecewise_log_interpolation_of_optimized_grid,2.7231007882946745,32.939609663007886,6.002365248567681,0.8346648809026167,0.21430222528894116,0.740526912991413,0.04517086171964581
5.411695265464638,5.411695265464638e+21,b1_mixed_pythia_quality,7828,exponential,piecewise_log_interpolation_of_optimized_grid,2.702268140260881,33.7577197942486,5.98206917554396,0.8440411271277197,0.19766306582229565,0.7590400857498996,0.04329684842780471
6.30957344480193,6.309573444801929e+21,b1_mixed_pythia_quality,7919,exponential,piecewise_log_interpolation_of_optimized_grid,2.681435492227087,34.575829925489316,5.9617731025202385,0.8534173733528228,0.18102390635565035,0.777553258508386,0.04142283513596362
7.3564225445964135,7.356422544596414e+21,b1_mixed_pythia_quality,8010,exponential,piecewise_log_interpolation_of_optimized_grid,2.660602844193294,35.39394005673003,5.941477029496517,0.8627936195779259,0.16438474688900484,0.7960664312668726,0.03954882184412252
8.576958985908938,8.576958985908938e+21,b1_mixed_pythia_quality,8101,exponential,piecewise_log_interpolation_of_optimized_grid,2.6397701961595,36.212050187970746,5.921180956472796,0.8721698658030289,0.14774558742235955,0.814579604025359,0.03767480855228143
