coefficient_source,boundary_scheme,cost_function,budget_from_1e21,budget_to_1e21,delta_N_B,delta_D_B,delta_Q,delta_train_share,delta_quality_share,delta_attention_share,loss_drop,share_total_variation,N_upper_active_after,Q_upper_active_both
b6_b8_lambda10,legacy,logarithmic,0.01,10.0,78.37186741552321,18.66651445875758,8.881784197001252e-16,0.05603075560313986,-0.059855788518980976,0.003825032915841013,0.7524490754424812,0.05985578851898092,False,True
b6_b8_lambda10,legacy,logarithmic,10.0,1000.0,840.1459436096594,150.0997994630323,2.220446049250313e-16,0.001587320780143675,-0.0016956818787347227,0.00010836109859113652,0.2389001636121248,0.0016956818787347671,False,True
b6_b8_lambda10,legacy,logarithmic,1000.0,10000.0,79.19861303062237,1390.518101497692,0.0,1.2089379370028297e-05,-1.2914681001709307e-05,8.253016316739359e-07,0.06790800469383218,1.291468100170577e-05,True,True
b6_b8_lambda10,legacy,logarithmic,10000.0,100000.0,0.0,3440.0745394740625,-1.1102230246251565e-15,-0.45804137881038137,-7.349410813819272e-05,0.45811487291851954,0.021572353338845995,0.45811487291851954,True,True
b6_b8_lambda10,legacy,logarithmic,100000.0,1000000.0,0.0,0.0,1.1102230246251565e-15,0.3074919303810035,4.9337999203776135e-05,-0.30754126838020723,3.763711564630512e-12,0.30754126838020723,True,True
b6_b8_lambda10,legacy,power,0.01,10.0,78.52028119066622,18.594610190866828,-6.661338147750939e-16,0.15329830775274012,-0.16376347222866067,0.010465164475920406,0.7772495817619878,0.16376347222866058,False,True
b6_b8_lambda10,legacy,power,10.0,1000.0,840.1463726724941,150.15312337972514,0.0,0.005885599095264427,-0.006287389326834357,0.00040179023157004,0.2392244103893425,0.006287389326834412,False,True
b6_b8_lambda10,legacy,power,1000.0,10000.0,78.58968656555453,1390.0600652204341,6.661338147750939e-16,4.502574831233286e-05,-4.809950606382747e-05,3.073757751451134e-06,0.06791955130290572,4.809950606380573e-05,True,True
b6_b8_lambda10,legacy,power,10000.0,100000.0,9.094947017729282e-13,3440.720605587686,-9.992007221626409e-16,-0.056165715749389444,-3.3875855421588324e-05,0.05619959160481115,0.02158125676274225,0.0561995916048111,True,True
b6_b8_lambda10,legacy,power,100000.0,1000000.0,0.0,1.7280399333685637e-11,9.992007221626409e-16,-0.09426907575364796,-5.6857560494840103e-05,0.09432593331414278,1.7197243629141212e-11,0.0943259333141428,True,True
