budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message,coefficient_source,boundary_scheme,context_selection_note
1000000.0,1e+27,131072,exponential,3.0,True,0.0,5000.000000000004,3999.9999999999995,0.9897545561667598,1.7693836596375556,1.8310632858806075,0.010174608765457664,0.05999999999999924,-0.0209361221550801,0.009081887146569621,0.4714498635941312,0.99,0.3027295715523207,120000.00000000007,11255.45169339697,524288.0000000003,655543.4516933974,0.18305422728274767,0.01716965010377562,0.7997761226134767,1.250000000000001,stackexchange,0.17890036168492937,0.0010077399788780937,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000000.0,1e+27,131072,exponential,3.0,True,0.0,999.999999999998,5000.000000000004,0.9897476204948964,1.77626478704467,1.8379444132949738,0.010174608765457664,0.05999999999999924,-0.02093650399736564,0.009082268981603237,0.47145022241519274,0.99,0.3027422993867746,29999.99999999996,14068.703766687942,131071.99999999983,175140.70376668771,0.17129084989840065,0.08032800750549371,0.7483811425961057,0.19999999999999946,stackexchange,0.17890183248922767,0.0010077374645177319,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000000.0,1e+27,131072,logarithmic,3.0,True,0.0,5000.000000000004,3999.9999999999927,0.9897542491522198,1.769383659692001,1.8310632858806077,0.010174608765457664,0.05999999999999924,-0.020936711316808583,0.009082476362743187,0.47145006029313086,0.99,0.30274921209143957,119999.99999999987,11833.837075753781,524287.9999999995,656121.8370757531,0.18289286108022826,0.018036036002849108,0.7990711029169226,1.250000000000003,stackexchange,0.17890109094346474,0.0010077356215126502,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000000.0,1e+27,131072,logarithmic,3.0,True,0.0,999.9999999999989,5000.000000000004,0.9897479724164225,1.7762647871137334,1.8379444132949738,0.010174608765457664,0.05999999999999924,-0.020936269971796713,0.009082035025097685,0.4714503986807279,0.99,0.3027345008365895,29999.999999999985,14792.16850400701,131071.99999999994,175864.16850400693,0.1705861987418799,0.08411132654159725,0.7453024747165229,0.19999999999999962,stackexchange,0.17890366480975628,0.001007738225400215,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000000.0,1e+27,131072,power,3.0,True,0.0,5000.000000000004,3999.9999999999927,0.9897542951502325,1.7693836596227617,1.8310632858806077,0.010174608765457664,0.05999999999999924,-0.020936335332811647,0.009082100309507055,0.471450065261749,0.99,0.3027366769835685,119999.99999999987,11493.092141588126,524287.9999999995,655781.0921415875,0.18298789251168449,0.0175258059119318,0.7994863015763837,1.250000000000003,stackexchange,0.1789008694893291,0.0010077382813836776,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
1000000.0,1e+27,131072,power,3.0,True,0.0,999.9999999999998,5000.000000000004,0.9898087606963939,1.7762686212341106,1.8379444132949738,0.010174608765457664,0.05999999999999924,-0.020942749249621365,0.00909234842329959,0.471451207567441,0.99,0.303078280776653,30000.00000000002,14369.681961155355,131072.0000000001,175441.68196115547,0.17099699264535276,0.08190574668759129,0.747097260667056,0.19999999999999982,stackexchange,0.17892279282366583,0.0011374915578674155,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,exponential,3.0,True,0.0,2.004346477681723,0.7316338235308324,0.4596150318931771,1.8471733329315037,1.3022093646094244,0.5402172802474068,0.03792723352971346,-0.018238024742878504,0.06091194634726447,0.6421492198115686,0.6132222127064298,2.0303982115754824,0.008798686062881013,0.0,0.0012013139371186876,0.0099999999999997,0.8798686062881277,0.0,0.12013139371187237,2.7395486829857534,arxiv,0.9768785978354576,0.001006184597308366,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,exponential,3.0,True,0.0,2.0043486339924343,0.7316330364273345,0.4596150318931771,1.847175015525672,1.3022093646094333,0.5401890788858085,0.03792723352971346,-0.018238285396978478,0.0609420909571223,0.6421800702019071,0.6132407935473279,2.031403031904077,0.00879868606288119,0.0,0.0012013139371187117,0.009999999999999901,0.8798686062881277,0.0,0.12013139371187236,2.7395545774968646,arxiv,0.9770380236807046,0.0010071615484879214,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,logarithmic,3.0,True,0.0,2.004347079705954,0.7316336037776077,0.4596150318931771,1.8471783420256975,1.3022093646094672,0.5402106034338224,0.03792723352971346,-0.018235240304064936,0.060920847816186244,0.6421565235165536,0.6132266118065708,2.0306949272062083,0.008798686062878347,0.0,0.0012013139371183236,0.00999999999999667,0.8798686062881277,0.0,0.12013139371187237,2.7395503286850245,arxiv,0.9769216089197955,0.0010093353226211476,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,logarithmic,3.0,True,0.0,2.0043461661996083,0.7316339372291033,0.4596150318931771,1.8471653529508274,1.3022093646094475,0.5401054207990211,0.03792723352971346,-0.018242099556023288,0.061019900628095515,0.6422716047124989,0.6132959132418928,2.033996687603184,0.008798686062880067,0.0,0.0012013139371185586,0.009999999999998626,0.8798686062881276,0.0,0.12013139371187237,2.7395478315161435,arxiv,0.9775042032459239,0.0010001098910711265,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,power,3.0,True,0.0,2.004346417365487,0.7316338455476399,0.4596150318931771,1.8471750392081834,1.302209364609435,0.5401889408636412,0.03792723352971346,-0.018238266496828394,0.06094223376164887,0.642180221196468,0.6132408844852525,2.0314077920549622,0.008798686062880477,0.0,0.0012013139371186146,0.009999999999999091,0.8798686062881277,0.0,0.12013139371187237,2.739548518104983,arxiv,0.9770388253247717,0.0010071973667819313,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,power,3.0,True,0.0,2.00434462432862,0.7316345000489135,0.4596150318931771,1.8471702380007502,1.302209364609536,0.5401791963571454,0.03792723352971346,-0.01823997269822153,0.06094888326200376,0.6421908817545067,0.613247304800637,2.031629442066792,0.008798686062878383,0.0,0.0012013139371183288,0.009999999999996711,0.8798686062881277,0.0,0.12013139371187238,2.73954361664823,arxiv,0.9770905035356173,0.0010025738009724178,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,exponential,3.0,True,5.4214410738495644e-12,266.14995019171056,2.063723501096275,0.9896857185123765,0.633261675800829,0.6867457262634907,0.010174609241551972,0.051879883005803235,-0.02117515242063306,0.00939637572222266,0.47405986107578857,0.9899999995693974,0.31321252407408867,3.2955594421574173,5.804533126176218,0.8999074316717856,10.000000000005421,0.32955594421556306,0.5804533126173071,0.08999074316712977,128.96589589173573,stackexchange,0.17923777786470765,0.00224502179710691,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,exponential,3.0,True,5.4214410738495644e-12,266.14995019171056,2.063723501096275,0.9896857185123765,0.633261675800829,0.6867457262634907,0.010174609241551972,0.051879883005803235,-0.02117515242063306,0.00939637572222266,0.47405986107578857,0.9899999995693974,0.31321252407408867,3.2955594421574173,5.804533126176218,0.8999074316717856,10.000000000005421,0.32955594421556306,0.5804533126173071,0.08999074316712977,128.96589589173573,stackexchange,0.17923777786470765,0.00224502179710691,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,logarithmic,3.0,True,0.0,272.4976890792239,1.9841903591773604,0.9897379008268897,0.6368245420561867,0.6903790537661616,0.010174608765457664,0.051879883005803235,-0.02093595685956825,0.009086719389938965,0.47166151384120925,0.99,0.30289064633129886,3.2441237254146356,5.870014222626653,0.8858620519532231,9.999999999994513,0.32441237254164157,0.5870014222629875,0.08858620519537092,137.33444869281627,stackexchange,0.17880606970669283,0.0011720979555827713,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
