loss_domain,donor_domain,recipient_1,recipient_2,transfer_each,n_test_recipes,mean_nonadditive_delta_loss,median_nonadditive_delta_loss,mean_absolute_nonadditive_delta_loss,sign_consistency,interpretation
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,github,0.05,72,-0.02081848604076187,-0.009638202793269102,0.039424272302657985,0.6388888888888888,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,arxiv,0.05,72,-0.029930410740407937,-0.00889247063360532,0.03427820449355678,0.75,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,pubmed_central,0.05,72,-0.006317061896654498,-0.0014111171855635263,0.033841165198413146,0.5416666666666666,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,pile_cc,0.05,72,0.005198508725134098,0.002131820259856587,0.03210971136088189,0.5694444444444444,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,freelaw,github,0.05,72,-0.020678392172505975,-0.011665117770110589,0.03758474650905751,0.7083333333333334,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,freelaw,arxiv,0.05,72,-0.06974477603948868,-0.014737069586703067,0.07267977410758117,0.8888888888888888,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,freelaw,pubmed_central,0.05,72,-0.05124952075230136,-0.009820707693370956,0.07107013716916387,0.75,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,freelaw,pile_cc,0.05,72,-0.03885594697377722,-0.011898095315299173,0.05946920894507443,0.6805555555555556,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,github,arxiv,0.05,72,-0.019905904965835202,-0.012012074147437435,0.02099672586853478,0.9305555555555556,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,github,pubmed_central,0.05,72,-0.014351789103725587,-0.007240012231628956,0.024445979447315636,0.8055555555555556,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,github,pile_cc,0.05,72,-0.016138768776586487,-0.005747204837150743,0.03252110335723495,0.6944444444444444,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,arxiv,pubmed_central,0.05,72,0.06285244006905784,0.01081471457600025,0.07605511962542535,0.6805555555555556,"quadratic-model non-additivity; conditional association, not causal synergy"
