draw,intercept,slope
229,-16.923549753440863,1.139702168130852
230,-17.12686925114886,1.1467657434091483
231,-16.8828959904264,1.137215084411086
232,-17.206355252515404,1.1486965971284806
233,-17.03188063843151,1.1433600579642886
234,-17.257029209965694,1.1501798249551036
235,-17.138910951954802,1.144786630946884
236,-17.005934872054468,1.1430639988921072
237,-17.069101049385143,1.1418697474170958
238,-17.000650971102306,1.142606147069464
239,-16.898204650602832,1.1370546917724116
240,-17.215724864119558,1.1496289385176939
241,-16.84461331069989,1.135686506231913
242,-17.375449806208266,1.1533406888662232
243,-17.135624133624173,1.146233878745252
244,-17.112950687115823,1.1426440207687076
245,-17.172699165426366,1.1473504196923903
246,-17.42063358072343,1.1530011421328172
247,-17.06004763885168,1.1433603296456818
248,-17.044691827103225,1.1435706854050192
249,-17.14586900146635,1.1469676344552902
250,-17.092594392841338,1.1451431901129996
251,-17.056108418211128,1.1437994554897368
252,-17.192388058415727,1.148202601965484
253,-17.3844133002605,1.1530228520618793
254,-17.17616431438066,1.1445548003371713
255,-17.06837709164915,1.1411885515192053
256,-17.31616424995109,1.1508959501974811
257,-17.33932464188456,1.1517888100952722
258,-17.13084600383771,1.146568117099903
259,-17.356534504433032,1.150604312789104
260,-17.128183079763925,1.1425106695957785
261,-16.883808104146834,1.1378586387636036
262,-17.180935308779738,1.144642919399698
263,-16.67227441855398,1.1313473916485641
264,-17.384937948728478,1.1538452956990874
265,-17.135614299344123,1.1459751997425534
266,-16.854117870567247,1.1367016279515336
267,-17.25079700393915,1.147941938219275
268,-17.27775382784466,1.1492053163999603
269,-16.916809869398207,1.139633036248426
270,-17.016151414495983,1.142150502155752
271,-17.221975446404404,1.1470097929294234
272,-17.042723886916093,1.1416682871717503
273,-17.268958243648395,1.1508425519303902
274,-17.04928230294022,1.139507481123517
275,-16.953659680173647,1.1391246311795848
276,-17.281767600025802,1.1519065709285594
277,-16.959087110065912,1.1393965772342054
278,-17.175730283243,1.146889875876999
279,-17.3094416308141,1.1493117948285394
280,-17.404213697481058,1.1559400105860338
281,-17.050942286829468,1.1436018465055255
282,-17.12743004492649,1.1450818335754156
283,-17.164138484558137,1.1502001716378014
284,-17.111278769120755,1.143810894463703
285,-17.04861757668302,1.1437988638224137
286,-16.94458587054863,1.139461069634091
287,-16.98962044336039,1.1402410072870366
288,-17.250003674320617,1.1508928543502366
289,-17.155674322999136,1.1452757829786075
290,-17.372396458566364,1.1536748268309096
291,-17.333818677728008,1.1499099147072878
292,-17.22609438705305,1.1499321232434403
293,-17.001736659413687,1.140820914107052
294,-16.973455628134637,1.1388552744129368
295,-17.302373892201828,1.1526069343673777
296,-17.162362849980205,1.1455422792721677
297,-17.101507919900975,1.1452252741033637
298,-17.21055955149296,1.1469311292577886
299,-17.47691760293547,1.1576011129722574
300,-17.17340627471575,1.1447267110020236
301,-17.272943068322963,1.1511712402126575
302,-17.33354945717786,1.1503312197511992
303,-17.255967367564708,1.152306084510623
