draw,slope,intercept
1300,-0.5936329438298876,7.306926232838126
1301,-0.8816640389379025,7.671652427888839
1302,-2.046091360747067,10.352448657730285
1303,-2.023857399687489,10.33894857839346
1304,-1.8530906086782386,9.757411588826775
1305,-0.8827848468327884,7.766928948534488
1306,0.1286056482866321,5.661534397075362
1307,-3.094261081321875,12.509345313599031
1308,-0.4404516161353771,6.865453348939384
1309,0.08799259184144406,5.505712940601034
1310,-0.8112110713716809,7.6641738720167805
1311,0.4394727620885492,4.366340546828985
1312,-2.4044326887572867,11.030308840864382
1313,-0.2723000173300605,6.347747525099667
1314,-0.1564115581598566,6.028352548822511
1315,-2.6258002105942504,11.597295670269762
1316,-0.5429475035477751,7.037638314098009
1317,0.015435192764283392,5.6930617943278214
1318,-1.0229762348656295,8.172254344512034
1319,-0.5555197347952199,6.883807982700498
1320,-0.6380160522446605,7.177770060735561
1321,-0.841668025187051,7.79643084279429
1322,-0.49277976295801074,6.996050618823984
1323,-0.3568850127405825,6.434444446756432
1324,-0.7203815583535346,7.380582629074185
1325,-0.5491434630147157,7.13406190365502
1326,-0.8507765998514097,7.731082957751182
1327,-1.813233278809144,9.832074874104984
1328,-0.6581186305422678,7.169459971700703
1329,-1.9944510554033823,10.198613554956335
1330,-1.5174309043212242,9.14295318425992
1331,-3.3900036052260436,13.158847112364985
1332,0.26375330526964186,4.930397386927824
1333,-0.6074069989217081,7.184111366951252
1334,-2.733202152519821,11.74701981044199
1335,-3.1731894296528713,12.826777796215117
1336,0.27143437705883494,4.856492793411863
1337,-0.2531114148608037,6.182781566205096
1338,-2.791698806856003,11.871011683104545
1339,-0.33888494119012197,6.623197183157467
1340,-2.967341563169197,12.14871971694053
1341,-2.507423891643564,11.296608402117352
1342,-0.18708834693676443,6.208718307574253
1343,-2.4913991372360815,11.141100918077946
1344,0.06966448214567443,5.431255792050902
1345,-2.182722401917133,10.598719455116814
1346,-0.34876414536250894,6.530728905712888
1347,-2.4913991372360824,11.141100918077946
1348,-0.877411338772628,7.7916482676166074
1349,-0.6095897583948482,6.9977234579191245
1350,-4.013149478061608,14.446332761064179
1351,-1.0273419802551804,7.894900915093056
1352,-1.1205437234759696,8.30019436555825
1353,-2.2413598995310875,10.735142144905344
1354,-2.7709902311975183,11.811314454298579
1355,-2.7709902311975187,11.81131445429858
1356,-2.424035431722189,11.218564614359765
1357,-0.46823760877540066,6.774814538328813
1358,-0.9948548612356742,7.809296834878921
1359,-0.6796624826457964,7.345076799328014
1360,-2.0601897228312955,9.989904029535275
1361,-2.261347875770243,10.781929855490105
1362,-0.7394096090104296,7.473940627243266
1363,-2.5341471988493414,11.358612459595669
1364,0.26375330526964197,4.930397386927824
1365,-1.813233278809144,9.832074874104983
1366,-2.231466884469766,10.661249598921628
1367,-0.6250533617498082,7.36809809495019
1368,-0.036372745857605915,5.627780330280938
1369,-0.2997179667897313,6.474972102292349
1370,-0.35493316733485797,6.499721459154339
1371,-0.2553073083415774,6.080411283149112
1372,-2.65953999590621,11.62213050899891
1373,-0.0381521418607978,5.667080012269924
1374,-0.6274399078689974,7.22490123815247
1375,-4.301353564203675,15.363008408113899
1376,-1.9991101134642038,10.332129034040957
1377,0.1478418877611817,5.217599801965024
1378,-0.6112399926507859,7.175679103206214
1379,-2.7916988068560022,11.871011683104541
1380,-0.6359205739843453,7.400399057688673
1381,-2.5253450512282876,11.286880677836896
1382,-3.365950348515615,13.053075806593872
1383,-0.25891247634611636,6.232490887644808
1384,-0.2589124763461163,6.232490887644808
1385,-4.6851769875939935,15.949525684805565
1386,-2.678262373252687,11.5123799011748
1387,-2.7916988068560027,11.871011683104541
