budget_flops,N_params_B,direct_score_raw,direct_score,c8_layer_score
2.5118864315095823e+24,203.4757324447989,42.00967202440621,42.00967202440621,21.47316637376597
2.928644564625237e+24,211.82027481196775,42.24537980607921,42.24537980607921,21.47316637376597
3.414548873833601e+24,220.1648171791366,42.471979065823575,42.471979065823575,21.47316637376597
3.981071705534969e+24,228.50935954630543,42.69014765669154,42.69014765669154,21.47316637376597
4.641588833612782e+24,236.85390191347443,42.90049047012998,42.90049047012998,21.47316637376597
5.411695265464638e+24,245.1984442806433,43.103549545403396,43.103549545403396,21.47316637376597
6.30957344480193e+24,253.5429866478121,43.29981248655155,43.29981248655155,21.47316637376597
7.356422544596406e+24,261.88752901498094,43.489719515906856,43.489719515906856,21.47316637376597
8.576958985908947e+24,270.2320713821499,43.67366942090761,43.67366942090761,21.47316637376597
1e+25,278.5766137493188,43.85202459625439,43.85202459625439,21.47316637376597
1.165914401179831e+25,377.8138689644844,45.639027832326846,45.639027832326846,21.47316637376597
1.359356390878524e+25,477.05112417965,47.00678882898724,47.00678882898724,21.47316637376597
1.584893192461114e+25,576.2883793948167,48.11511338727095,48.11511338727095,21.47316637376597
1.8478497974222907e+25,675.5256346099824,49.04690305588248,49.04690305588248,21.47316637376597
2.154434690031882e+25,774.762889825148,49.85074416389564,49.85074416389564,21.47316637376597
2.5118864315095825e+25,874.0001450403148,50.557570077918996,50.557570077918996,21.47316637376597
2.9286445646252373e+25,973.2374002554805,51.188296486153575,51.188296486153575,21.47316637376597
3.414548873833601e+25,1072.474655470646,51.75772858583528,51.75772858583528,21.47316637376597
3.981071705534969e+25,1171.7119106858115,52.27673149522933,52.27673149522933,21.47316637376597
4.641588833612782e+25,1270.9491659009786,52.75351512716267,52.75351512716267,21.47316637376597
5.411695265464637e+25,1370.186421116144,53.1944345647738,53.1944345647738,21.47316637376597
6.30957344480193e+25,1469.4236763313097,53.60450987972823,53.60450987972823,21.47316637376597
7.356422544596407e+25,1568.6609315464752,53.98777571366237,53.98777571366237,21.47316637376597
8.576958985908946e+25,1667.898186761642,54.347523431392275,54.347523431392275,21.47316637376597
1e+26,1767.1354419768077,54.686473178271186,54.686473178271186,21.47316637376597
1.165914401179831e+26,1982.65974584502,55.36137145621109,55.36137145621109,21.47316637376597
1.359356390878524e+26,2198.184049713232,55.96655645492396,55.96655645492396,21.47316637376597
1.584893192461114e+26,2413.708353581447,56.51509131582358,56.51509131582358,21.47316637376597
1.8478497974222908e+26,2629.23265744966,57.01667994753869,57.01667994753869,21.47316637376597
2.1544346900318826e+26,2844.756961317872,57.47872842301487,57.47872842301487,21.47316637376597
2.511886431509577e+26,3060.281265186084,57.9070176901722,57.9070176901722,21.47316637376597
2.9286445646252373e+26,3275.8055690543,58.30614680630477,58.30614680630477,21.47316637376597
3.414548873833601e+26,3491.329872922512,58.679834661557976,58.679834661557976,21.47316637376597
3.981071705534969e+26,3706.854176790724,59.031131168524595,59.031131168524595,21.47316637376597
4.641588833612782e+26,3922.378480658939,59.36256867884222,59.36256867884222,21.47316637376597
5.411695265464637e+26,4137.902784527152,59.676272844814505,59.676272844814505,21.47316637376597
6.30957344480193e+26,4353.427088395364,59.97404530052505,59.97404530052505,21.47316637376597
7.356422544596406e+26,4568.951392263576,60.25742634418128,60.25742634418128,21.47316637376597
8.576958985908946e+26,4784.475696131791,60.527743159537835,60.527743159537835,21.47316637376597
1e+27,5000.000000000004,60.78614740383588,60.78614740383588,21.47316637376597
